company,city,state,source,source_id,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,pitch_angle
"Cardinal Health","Aurora","IL","osm_industrial","osm-25484574","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Menlo Worldwide Logistics","Chicago","IL","osm_industrial","osm-25484593","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Peerless Av","Aurora","IL","osm_industrial","osm-26133801","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Czs Commissary","Chicago","IL","osm_industrial","osm-31466797","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Continental Paper Grading Company","Chicago","IL","osm_industrial","osm-56393272","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fedex","Chicago","IL","osm_industrial","osm-107116376","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Streamwood Plastics Ltd","Schaumburg","IL","osm_industrial","osm-115878405","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Glanbia","Chicago","IL","osm_industrial","osm-124013565","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"The Lock Up","Chicago","IL","osm_industrial","osm-153561244","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Hawthorne Warehouse","Chicago","IL","osm_industrial","osm-162296010","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","331478","1.1","5594604","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
